sorgente,domanda,corretta,errata_1,errata_2,errata_3
../SviluppoCooperazioneInternazionale/contatti_order=alphabetic/index.txt,"A quale servizio dell'Università di Bologna puoi rivolgerti per ricevere informazioni su borse di studio, alloggi e mense?",A. ErGO – Ente Regionale per il Diritto allo Studio,B. CLA – Centro Linguistico di Ateneo,C. Helpdesk Studenti Online,D. Job placement
../SviluppoCooperazioneInternazionale/contatti_order=alphabetic/index.txt,Quale servizio universitario si occupa dell'assistenza agli studenti con disabilità o DSA?,A. Servizio per gli Studenti con Disabilità o con DSA,B. Segreteria studenti,C. Servizio Orientamento al lavoro,D. Servizio carriere alias
../SviluppoCooperazioneInternazionale/contatti_order=alphabetic/index.txt,Quale servizio universitario offre supporto specifico per gli studenti che desiderano conciliare studio e carriera agonistica sportiva?,A. Servizio studente atleta,B. Servizio per gli Studenti con Disabilità o con DSA,C. Tutor di Corso,D. Supporto didattico alla mobilità
../SviluppoCooperazioneInternazionale/contatti_order=alphabetic/index.txt,In quale giorno e orario è possibile incontrare il tutor di orientamento senza appuntamento?,A. Mercoledì 14.30-15.30,B. Martedì 14.30-16.00,C. Venerdì 10.00-11.00,D. Lunedì 10.00-12.00
../SviluppoCooperazioneInternazionale/contatti_order=alphabetic/index.txt,Dove si possono consegnare dei documenti presso l'ufficio di Filippo Re?,A. Via Zamboni 33 - 40126 Bologna BO,B. Via Zamboni 32 - 40126 Bologna BO,C. Via Zamboni 33 - 40127 Bologna BO,D.  8 - 40126 Bologna BO
../SviluppoCooperazioneInternazionale/cosa-dicono-i-nostri-studenti/index.txt,"Secondo Roberta, quale vantaggio principale offre il corso di SVIC?","A. Fornisce una panoramica su diversi ambiti (economico, politico, sociale, statistico) senza focalizzarsi su uno solo.","B. Offre la possibilità di specializzarsi in un ambito specifico, come l'analisi dello sviluppo locale.",C.  Garantiisce l'inserimento lavorativo in organizzazioni internazionali.,"D.  Permette di acquisire competenze specifiche in statistica, economia e sociologia."
../SviluppoCooperazioneInternazionale/cosa-dicono-i-nostri-studenti/index.txt,"Secondo gli studenti, quale aspetto del corso di SVIC è stato particolarmente apprezzato?",A. L'approccio interdisciplinare e la prospettiva non eurocentrica.,B. La forte enfasi sulla lingua francese.,C. La presenza di un elevato numero di esami di economia.,D. La possibilità di specializzarsi in un solo campo di studio.
../SviluppoCooperazioneInternazionale/cosa-dicono-i-nostri-studenti/index.txt,"Secondo gli studenti citati, quale tra questi corsi NON è stato menzionato come preferito?",A. Analisi territoriale,B. Diritto internazionale,C. Storia,D. Economia politica
../SviluppoCooperazioneInternazionale/iscriversi-ad-anni-successivi-al-primo/index.txt,Quale dei seguenti servizi online NON è specificamente menzionato come disponibile per gli studenti dell'Università di Bologna?,D. AlmaRegistri,A. AlmaEsami,B. Bacheca offerte di lavoro,C. Servizi bibliotecari
../SviluppoCooperazioneInternazionale/iscriversi-ad-anni-successivi-al-primo/index.txt,Quale tra i seguenti servizi NON è menzionato come disponibile sul portale dell'Università di Bologna?,A. Servizio di supporto per la scrittura accademica,B.  Incarichi extraistituzionali,C.  Servizi bibliotecari,D.  La mia e-mail
../SviluppoCooperazioneInternazionale/iscriversi-ad-anni-successivi-al-primo/index.txt,Quando è indicativamente possibile verificare gli importi delle tasse universitarie per l'anno accademico successivo?,A. Dal 25 luglio,B. Dal 15 agosto,C. Alla fine di giugno,D. Alla fine di settembre
../SviluppoCooperazioneInternazionale/iscriversi-ad-anni-successivi-al-primo/index.txt,Quando è indicativamente possibile verificare gli importi delle tasse universitarie per il nuovo anno accademico?,A. Dal 25 luglio,B. Dal 15 giugno,C. Dal 10 agosto,D. Dal 1° settembre
../SviluppoCooperazioneInternazionale/iscriversi-ad-anni-successivi-al-primo/index.txt,"Secondo il testo, quali sono le due app disponibili per gli studenti dell'Università di Bologna?",A. myAlmaOrienta e App Job Placement,B. myAlmaOrienta e App Alumni,C. App Job Placement e App Alumni,D. myAlmaOrienta e App Studenti
../SviluppoCooperazioneInternazionale/faq-studiare/index.txt,Dove è possibile trovare i libri di testo necessari per i corsi universitari?,A. Nelle biblioteche dei Dipartimenti di Scienze Economiche e di Scienze Statistiche.,B.  Presso le librerie universitarie.,C.  Su piattaforme online come Amazon o IBS.,D.  Il docente fornisce i libri di testo direttamente agli studenti.
../SviluppoCooperazioneInternazionale/opportunita/index.txt,"Secondo il testo, quale delle seguenti opzioni NON è una risorsa disponibile per gli studenti che desiderano approfondire le opportunità di studio all'estero?",D. Mense e punti di ristoro,A. Semester @ Buenos Aires Campus,B. Studenti Erasmus in entrata,C. Tutte le opportunità
../SviluppoCooperazioneInternazionale/opportunita/index.txt,"Secondo il testo, quali sono le opportunità offerte agli studenti laureati in Sviluppo e Cooperazione Internazionale?","A.  Prospettive lavorative, preparazione al mondo del lavoro, offerte di lavoro e la possibilità di trasformare un'idea in un progetto d'impresa.",B.  Solo opportunità lavorative nel settore della cooperazione internazionale.,"C.  Prospettive lavorative, preparazione al mondo del lavoro e agevolazioni per cinema, musei e teatri.",D.  Opportunità di studio all'estero e la possibilità di lavorare come volontario in organizzazioni internazionali.
../SviluppoCooperazioneInternazionale/esplora-il-corso/index.txt,"Secondo il testo, qual è la percentuale di laureati del corso di Laurea in Sviluppo e Cooperazione Internazionale che hanno svolto un'esperienza all'estero?",A. 37%,B. 54%,C. 58%,D. 83%
../SviluppoCooperazioneInternazionale/esplora-il-corso/index.txt,"Secondo i dati forniti, quale percentuale di laureati del corso di Sviluppo e Cooperazione Internazionale ha esperienza all'estero?",A. 37%,B. 54%,C. 83%,D. 65%
../SviluppoCooperazioneInternazionale/esplora-il-corso/index.txt,"Secondo il testo, quali elementi sono presenti nelle aule informatiche?",A. Immagini di aule informatiche e una descrizione della sede.,B. Una lista di software disponibili nelle aule informatiche e le loro versioni.,C. Un elenco di corsi che utilizzano le aule informatiche e il numero di studenti per ogni corso.,D. Le specifiche tecniche degli computer presenti nelle aule informatiche e la loro capacità di elaborazione.
../SviluppoCooperazioneInternazionale/rappresentanti-studenti/index.txt,Quale dei seguenti servizi online è specificamente dedicato agli studenti dell'Università di Bologna?,A. AlmaEsami,B. AlmaRegistri,C. Concilium,D. IRIS - Archivio produzione scientifica
../SviluppoCooperazioneInternazionale/rappresentanti-studenti/index.txt,Quale tra i seguenti servizi NON è disponibile tramite il portale di Ateneo dell'Università di Bologna?,A. UniboImmagine,B. IRIS - Archivio produzione scientifica,C. La mia e-mail Studenti,D. Concilium
../SviluppoCooperazioneInternazionale/rappresentanti-studenti/index.txt,"Secondo il testo, chi è responsabile della definizione delle modalità di elezione dei rappresentanti degli studenti?",A. Il Regolamento d’Ateneo,B. Il Consiglio di Corso,C. I rappresentanti degli studenti eletti,D. Il Dipartimento di Sviluppo e Cooperazione Internazionale
../SviluppoCooperazioneInternazionale/rappresentanti-studenti/index.txt,"Secondo il testo, quante app sono disponibili per gli studenti dell'Università di Bologna?",A. Quattro,B. Tre,C. Cinque,D. Sei
../SviluppoCooperazioneInternazionale/commissioni/index.txt,Qual è il principale compito della Commissione di gestione AQ?,A. Supportare il Coordinatore nel presidio delle procedure di assicurazione di qualità e nella diffusione della cultura della qualità.,B. Verificare l'attuazione delle azioni di miglioramento approvate mensilmente dal Consiglio di Corso.,C. Monitorare l'andamento delle carriere degli studenti e la loro opinione sulle attività formative.,D. Condividere con il Coordinatore i risultati del monitoraggio svolto e proporre nuove azioni di miglioramento.
../SviluppoCooperazioneInternazionale/docenti/index.txt,Quale professore ha pubblicato l'ultimo avviso riguardante un laboratorio sul tema 'Genere e Politica Internazionale'?,A. Raffaella Baritono,B. Silvia Betti,C. Gianfranco Baldini,D. Rossella Bernardini
../SviluppoCooperazioneInternazionale/docenti/index.txt,Quale docente ha pubblicato un avviso di sospensione di una lezione il 18 settembre 2024?,A. Fulvio Cammarano,B. Cristina Brasili,C. Lorenzo Dal Maso,D. Marco De Angelis
../SviluppoCooperazioneInternazionale/docenti/index.txt,Quando sono state pubblicate le esiti degli esami del 17 settembre 2024?,A. Il 2024-09-19,B. Il 2024-09-15,C. Il 2024-09-11,D. Il 2024-09-20
../SviluppoCooperazioneInternazionale/docenti/index.txt,Quale docente ha pubblicato l'ultimo avviso relativo alla conversione dei voti degli scambi Erasmus?,A. Giampiero Giacomello,B. Enrico Gargiulo,C. Alessandro Giacone,D. Giovanni Giorgini
../SviluppoCooperazioneInternazionale/docenti/index.txt,Quando è stato pubblicato l'ultimo avviso di Giulia Guazzaloca?,A. 2022-11-12,B. 2021-11-16,C. 2017-09-17,D. 2024-09-23
../SviluppoCooperazioneInternazionale/docenti/index.txt,Quali sono i ruoli ricoperti dai professori associati menzionati nel testo?,A. Professori associati,B. Professori ordinario,C. Ricercatori post-dottorato,D. Assistenti di ricerca
../SviluppoCooperazioneInternazionale/laboratori-del-secondo-anno/index.txt,Quali laboratori sono aperti a tutti gli studenti iscritti a SVIC senza necessità di iscrizione aggiuntiva?,A. I laboratori attivati dal corso SVIC,B. I laboratori di SPOSI,"C. I laboratori del terzo anno, accessibili tramite il codice 91188","D. I laboratori attivati dal corso SPOSI, previa iscrizione tramite Studenti Online"
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/index.txt,Quali sono i requisiti di ammissione per il programma di scambio con l'Università di Buenos Aires?,"A. Essere iscritti al secondo anno di laurea triennale al momento della domanda e al terzo anno durante il semestre a Buenos Aires, con almeno 45 crediti universitari.","B. Essere iscritti al primo anno di laurea triennale al momento della domanda e al secondo anno durante il semestre a Buenos Aires, con almeno 30 crediti universitari.","C. Essere iscritti al terzo anno di laurea triennale al momento della domanda e al quarto anno durante il semestre a Buenos Aires, con almeno 60 crediti universitari.","D. Essere iscritti al secondo anno di laurea magistrale al momento della domanda e al terzo anno durante il semestre a Buenos Aires, con almeno 45 crediti universitari."
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/index.txt,Qual è il ruolo principale del Learning Agreement (LA) nell'ambito di un programma di scambio universitario?,A. Permette il riconoscimento degli esami sostenuti durante il corso di laurea presso l'università di destinazione.,B.  È un documento che certifica il livello di conoscenza linguistica richiesto per partecipare al programma di scambio.,C.  Serve come modulo di iscrizione al programma di scambio e deve essere compilato prima della partenza.,"D.  È un documento che definisce il piano di studi da seguire durante il periodo di scambio, con un numero minimo di crediti da acquisire."
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/allegato3_1920.pdf/@@download/file/allegato3_1920.pdf.txt,Quale corso di laurea può essere sostituito con l'insegnamento di  'International economics (B.A.)' nel piano di studi CLEF?,A.  Non c'è insegnamento obbligatorio nel ssd SECS -P/01 nel piano didattico con cui effettuare la sostituzione. L'insegnamento del ssd SECS -P/01 è da scegliere nell'ambito delle attività a scelta autonoma dello studente che possono essere scelte tra le attività formative attivate in Scuola,B. 69965 -International marketing (B.A.),C. Business Strategy B.A.,D. 55804 -Strategia d'impresa
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/allegato3_1920.pdf/@@download/file/allegato3_1920.pdf.txt,Quale corso può riconoscere un massimo di 20 crediti di settore SECS - P/08?,A. Attività svolta con ateneo convenzionato SECS - P/08,B. International Marketing B.A. SECS - P/01,C. International Economics (B.A.) SECS - P/01,D. Business Strategy B.A. SECS - P/08
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/allegato3_1920.pdf/@@download/file/allegato3_1920.pdf.txt,"Quante crediti sono necessari per completare il corso di laurea in ""International Economics (B.A.)?""",A. 9 crediti,B. 12 crediti,C. 6 crediti,D. 3 crediti
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,"Secondo il bando, in quale periodo accademico gli studenti che hanno partecipato al progetto Undergraduate di primo anno a Buenos Aires nell'anno accademico 2020-2021 possono candidarsi per uno o entrambi i semestri a Buenos Aires?",A. 2022/23,B. 2021/22,C. 2023/24,D. 2019/20
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,"Secondo il bando, quando è possibile per gli studenti del Corso di Laurea in Business and Economics che hanno partecipato al progetto di primo anno a Buenos Aires (2020-2021) svolgere entrambi i semestri a Buenos Aires?",A.  Dopo aver superato tutti gli esami del secondo anno prima del 22 agosto 2022,B.  Dopo aver superato tutti gli esami del secondo anno prima del 22 dicembre 2022,C.  Dopo aver completato il primo semestre a Buenos Aires,D.  Indipendentemente dal completamento degli esami del secondo anno
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,Quali sono i requisiti minimi di CFU necessari per poter partecipare alla selezione per il programma di studio nel primo semestre?,A. almeno 45 CFU,B. almeno 35 CFU,C. almeno 60 CFU,D. almeno 50 CFU
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,"Secondo il bando, quanti CFU devono essere conseguiti dagli studenti che intendono partecipare al progetto nel primo semestre?",A. almeno 45 CFU,B. almeno 35 CFU,C. almeno 60 CFU,D. almeno 50 CFU
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,"Secondo il testo, qual è il requisito minimo di CFU necessari per poter partecipare alla selezione per il secondo semestre?",A. 45 CFU,B. 30 CFU,C. 60 CFU,D. 50 CFU
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,Quali certificazioni linguistiche sono accettate per dimostrare la conoscenza dell'inglese per partecipare al programma?,"A. CEFR dal livello B2, FCE, BEC Vantage, BEC Higher, IELTS (Academic) con un punteggio minimo di 5,5 su 9, TOEFL in corso di validità con punteggio minimo di 86 su 120 (se internet based), CAE, CPE, Diploma IB, titolo di High School o GCE conseguiti in lingua inglese (almeno il 50% degli insegnamenti del corso di studi devono essere impartiti in lingua inglese) o status di madrelingua inglese","B. CEFR dal livello A2, FCE, BEC Vantage, BEC Higher, IELTS (Academic) con un punteggio minimo di 6,5 su 9, TOEFL in corso di validità con punteggio minimo di 90 su 120 (se internet based), CAE, CPE, Diploma IB, titolo di High School o GCE conseguiti in lingua inglese (almeno il 70% degli insegnamenti del corso di studi devono essere impartiti in lingua inglese) o status di madrelingua inglese","C. CEFR dal livello B2, FCE, BEC Vantage, BEC Higher, IELTS (Academic) con un punteggio minimo di 5 su 9, TOEFL in corso di validità con punteggio minimo di 80 su 120 (se internet based), CAE, CPE, Diploma IB, titolo di High School o GCE conseguiti in lingua inglese (almeno il 30% degli insegnamenti del corso di studi devono essere impartiti in lingua inglese) o status di madrelingua inglese","D. CEFR dal livello B1, FCE, BEC Vantage, BEC Higher, IELTS (Academic) con un punteggio minimo di 6 su 9, TOEFL in corso di validità con punteggio minimo di 86 su 120 (se internet based), CAE, CPE, Diploma IB, titolo di High School o GCE conseguiti in lingua inglese (almeno il 60% degli insegnamenti del corso di studi devono essere impartiti in lingua inglese) o status di madrelingua inglese"
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,Qual è il peso attribuito alla lettera motivazionale nella valutazione finale per l'ammissione al progetto?,A. 25%,B. 10%,C. 50%,D. 75%
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/bandoclabe_semestriba19_20-proroga-1.pdf/@@download/file/bandoclabe_semestriBA2223%5B1%5D.pdf.txt,"Secondo le indicazioni fornite dalla sede di Buenos Aires, quale azione è obbligatoria dopo il rientro per i partecipanti al programma?",A. Presentare la richiesta di riconoscimento degli esami e/o delle altre attività svolte all’estero.,B. Contattare Angela Adamo per fissare un appuntamento di ricevimento.,C.  Consultare l'informativa sulla privacy pubblicata sul sito web dell'università.,D.  Partecipare a un incontro informativo organizzato dal Dipartimento di Economia e Management.
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/allegato2_grades.pdf/@@download/file/allegato2_grades.pdf.txt,"Secondo la tabella, qual è il voto argentino corrispondente a un voto italiano di 8,75?",A. 30,B. 29,C. 28,D. 31
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/cose-da-sapere-prima-della-partenza-per-largentina.pdf/@@download/file/COSE%20DA%20SAPERE%20PRIMA%20DELLA%20PARTENZA%20PER%20LARGENTINA.pdf.txt,Qual è il documento necessario per ottenere il permesso di soggiorno (radicación transitoria) in Argentina?,A. Estratto del casellario giudiziale argentino (Certificado de carencia de antecedentes penales),B. Certificato di iscrizione all'università (Constancia de Inscripción Electrónica),C. Passaporto in corso di validità,D. Carta per i trasporti (sube)
../SviluppoCooperazioneInternazionale/semesters-buenos-aires-campus/cose-da-sapere-prima-della-partenza-per-largentina.pdf/@@download/file/COSE%20DA%20SAPERE%20PRIMA%20DELLA%20PARTENZA%20PER%20LARGENTINA.pdf.txt,Quale dei seguenti servizi NON è incluso nel kit di benvenuto per gli studenti che si recano a Buenos Aires?,D. Un voucher per un volo aereo,A. Uno sconto per il servizio di trasporto dall'aeroporto alla città,B. Una sim telefonica,C. Una tessera ecobici
../SviluppoCooperazioneInternazionale/utilizzo-del-marchio-di-ateneo-nella-prova-finale/index.txt,"Secondo il testo fornito, quale tra questi servizi online è specificamente menzionato come disponibile per gli studenti dell'Università di Bologna?",A. AlmaEsami,B. AlmaRegistri,C. Concilium,D. IRIS - Archivio produzione scientifica
../SviluppoCooperazioneInternazionale/utilizzo-del-marchio-di-ateneo-nella-prova-finale/index.txt,Quale dei seguenti servizi NON è disponibile tramite il portale di Ateneo di Bologna?,A. UniboImmagine,B. Cedolini web,C. La mia e-mail Studenti,D. IRIS - Archivio produzione scientifica
../SviluppoCooperazioneInternazionale/utilizzo-del-marchio-di-ateneo-nella-prova-finale/index.txt,"Secondo il nuovo Regolamento per l'uso del Marchio dell'Ateneo, in quale situazione è consentito utilizzare il marchio in colore oro o argento sulla copertina della prova finale?",A. Se la copertina è di colore scuro,B. Se il titolo della tesi contiene parole in inglese,C. Se il relatore o la relatrice è un professore emerito,D. Se la prova finale è presentata in formato digitale
../SviluppoCooperazioneInternazionale/utilizzo-del-marchio-di-ateneo-nella-prova-finale/index.txt,"Secondo le linee guida fornite, in quale situazione è consentito utilizzare il marchio di Ateneo in oro o argento sulla copertina della tesi?",A. Quando la copertina è di colore scuro.,B. Quando la tesi è stata elaborata in collaborazione con un'altra università.,C. Quando il titolo della tesi contiene parole chiave in lingua straniera.,D. Quando il relatore o la relatrice è un professore emerito.
../SviluppoCooperazioneInternazionale/utilizzo-del-marchio-di-ateneo-nella-prova-finale/index.txt,"Secondo il testo fornito, in quale anno è stato fondato l'associazione degli ex studenti dell'Università di Bologna?",A. 2024,B. 2023,C. 2025,D. 2022
../SviluppoCooperazioneInternazionale/openday/index.txt,Quale dei seguenti servizi NON è disponibile per gli studenti dell'Università di Bologna tramite il portale online?,D. Cedolini web,A. AlmaEsami,B. Bacheca offerte di lavoro,C. Corsi in lingua
../SviluppoCooperazioneInternazionale/openday/index.txt,Quale dei seguenti servizi NON è disponibile tramite il portale online dell'Università di Bologna?,D. U-Web Reporting - Reportistica Contabile Progetti,A. IRIS - Archivio produzione scientifica,B. La mia e-mail Studenti,C. Servizi bibliotecari
../SviluppoCooperazioneInternazionale/openday/index.txt,"Secondo il testo fornito, qual è la situazione attuale riguardo agli eventi per il corso di laurea in Sviluppo Cooperazione Internazionale?",A. Non ci sono eventi nuovi al momento.,B. Sono previsti due nuovi eventi per il prossimo mese.,C. Gli eventi saranno organizzati a partire dal 1° maggio.,D. Il testo non fornisce informazioni sugli eventi futuri.
../SviluppoCooperazioneInternazionale/faq-mobilita/index.txt,Quale dei seguenti servizi NON è disponibile per gli studenti dell'Università di Bologna tramite il portale online?,D. Cedolini web,A. AlmaEsami,B. Bacheca offerte di lavoro,C. Corsi in lingua
../SviluppoCooperazioneInternazionale/faq-mobilita/index.txt,"Secondo il testo, quali sono le opzioni di mobilità internazionale disponibili per gli studenti del corso di laurea in Sviluppo e Cooperazione Internazionale?","A. Erasmus+, semestri a Buenos Aires e tirocini all'estero","B. Erasmus+, semestri a Madrid e tirocini all'estero","A. Erasmus+, semestri a Buenos Aires e stage in Italia","D. Erasmus+, programmi di scambio con università americane e tirocini in Europa"
../SviluppoCooperazioneInternazionale/faq-mobilita/index.txt,Quali sono le opzioni di mobilità internazionale offerte dal corso di laurea in Sviluppo e Cooperazione Internazionale presso l'Università di Bologna?,"A. Erasmus+, mobilità all'estero, semestre a Buenos Aires e tirocini all'estero","B. Erasmus+, mobilità all'estero e tirocini all'estero","C. Erasmus+, semestre a Buenos Aires e tirocini all'estero","D. Erasmus+, mobilità all'estero e studio a Madrid"
../SviluppoCooperazioneInternazionale/risultati-di-apprendimento-attesi/index.txt,"Secondo il testo, quale tra queste NON è una modalità di verifica del raggiungimento dei risultati di apprendimento?",A. Esposizioni orali dei medesimi,B. Partecipazione a workshop di gruppo,C. Redazione di paper su temi assegnati,D. Esami orali e scritti
../SviluppoCooperazioneInternazionale/risultati-di-apprendimento-attesi/index.txt,"Secondo il testo, quale delle seguenti NON è una capacità che il laureato in questo corso è in grado di acquisire?",A. Condurre analisi dei dati relativi alle principali indagini economiche demografiche e sociali,B.  Formulare progetti di intervento in ambito territoriale e valutare questioni relative a politiche di sviluppo e di governante.,C.  Applicare conoscenze generali a problemi di tipo economico nonché a specifici progetti operativi con una scelta consapevole di appropriati metodi e approcci teorici,"D.  Conoscere gli eventi riguardanti la storia contemporanea e i problemi strutturali e settoriali dei sistemi locali nei paesi di almeno una delle seguenti aree geografiche: Mediterraneo, Africa Sub-Sahariana, Asia, America Latina, Est europeo e Unione Europea"
../SviluppoCooperazioneInternazionale/risultati-di-apprendimento-attesi/index.txt,"Secondo il testo, quale abilità specifica è sviluppata tramite discussioni durante le attività didattiche frontali, approfondimenti su specifiche tematiche disciplinari e letture comparative di differenti sistemi giuridico-normativi?",A. Autonomia di giudizio,B. Capacità di analisi critica delle fonti,C. Competenze linguistiche in inglese,D.  Capacità di formulare progetti di intervento in ambito territoriale
../SviluppoCooperazioneInternazionale/risultati-di-apprendimento-attesi/index.txt,"Secondo il testo, quali sono le modalità principali per l'acquisizione delle abilità comunicative?","A. Attraverso laboratori di comunicazione, la redazione della prova finale e, eventualmente, lo svolgimento del tirocinio e la sua relazione conclusiva.",B. Principalmente tramite la partecipazione a seminari tenuti da docenti stranieri e la conoscenza di metodi quantitativi e qualitativi.,C.  Solo attraverso la redazione della prova finale e la partecipazione a seminari organizzati a livello di Ateneo.,D.  Primariamente attraverso la conoscenza di una o più lingue straniere (almeno a livello B2) e la partecipazione a gruppi di lavoro internazionali.
../SviluppoCooperazioneInternazionale/semester-buenos-aires-campus/index.txt,Quali sono i requisiti minimi di crediti universitari necessari per partecipare al programma di scambio di studio a Buenos Aires?,A. almeno 45 crediti universitari,B. almeno 35 crediti universitari,C. almeno 60 crediti universitari,D. almeno 50 crediti universitari
../SviluppoCooperazioneInternazionale/semester-buenos-aires-campus/index.txt,"Secondo il testo, qual è il numero massimo di crediti formativi (CFU) che un corso presso l'Università di Buenos Aires può avere rispetto a un corso equivalente nel piano di studi italiano?","A.  Il testo afferma che se un corso a Buenos Aires ha più CFU rispetto al corso equivalente in Italia, la differenza può essere compensata con corsi opzionali nel piano di studi italiano.","B.  Il testo specifica che i corsi a Buenos Aires possono avere al massimo 12 CFU, come il corso 'Gestion de Proyectos'.",C.  Il testo indica che i corsi a Buenos Aires non possono avere più CFU rispetto ai corsi equivalenti in Italia.,D.  Il testo non fornisce informazioni sul numero massimo di CFU che un corso a Buenos Aires può avere rispetto a un corso equivalente in Italia.
../SviluppoCooperazioneInternazionale/semester-buenos-aires-campus/index.txt,A quale indirizzo di posta elettronica è possibile contattare il coordinatore del corso di laurea in Ingegneria?,A. cdl.ingegneriagestionale@unibo.it,B. cdl.itali@unibo.it,C. cdl.ingegneria@unibo.it,D. ingegneria@unibo.it
../SviluppoCooperazioneInternazionale/prova-finale-laurea-modalita/index.txt,"Quando si svolge la cerimonia di proclamazione per i laureati della sessione di laurea di luglio 2024 per i corsi di Servizio Sociale, Sviluppo e Cooperazione Internazionale, Scienze Politiche Sociali e Internazionali?",A. 22 luglio 2024,B. 20 luglio 2024,C. 25 luglio 2024,D. 29 luglio 2024
../SviluppoCooperazioneInternazionale/prova-finale-laurea-modalita/index.txt,Qual è il costo aggiuntivo per la presentazione tardiva della domanda di laurea?,A. 100 euro,B. 32 euro,C. 16 euro,D. 150 euro
../SviluppoCooperazioneInternazionale/prova-finale-laurea-modalita/index.txt,"Secondo le norme speciali per la prova finale delle lauree, quanti punti possono essere assegnati per la ""velocità"" nel completamento degli studi?",A. fino a un massimo di 3 punti,B. fino a un massimo di 5 punti,C. 1 punto per ogni mese di anticipo rispetto alla scadenza prevista,"D. 0,33 punti per ogni mese di anticipo rispetto alla scadenza prevista"
../SviluppoCooperazioneInternazionale/faq/index.txt,Quali informazioni specifiche riguardo al percorso di studi in Sviluppo e Cooperazione Internazionale si possono trovare sul sito web fornito?,"A.  Informazioni sul piano di studio, le opportunità di mobilità internazionale e le modalità di accesso al corso.",B.  Informazioni dettagliate sulle tesi di laurea e i requisiti di ammissione per il dottorato.,C.  Informazioni sui corsi di specializzazione e sulle borse di studio disponibili.,D.  Informazioni sui professori del dipartimento e sulle loro aree di ricerca.
../SviluppoCooperazioneInternazionale/come-assolvere-ofa/index.txt,Qual è la data limite per completare gli OFA e non essere considerati studenti ripetenti per l'anno accademico 2023/24?,A. 31 marzo 2025,B. 31 dicembre 2024,C. 31 marzo 2024,D. 30 giugno 2025
../SviluppoCooperazioneInternazionale/come-assolvere-ofa/esiti-prova-scritta-ofa-lingua-italiana_23012024_web.pdf/@@download/file/Esiti%20prova%20OFA_20032024_Web.pdf.txt,Quanti studenti sono risultati IDONEI/E alla prova scritta di OFA Lingua italiana SVIC/SPOSI il 20 marzo 2024?,A. 9,B. 7,C. 11,D. 12
../SviluppoCooperazioneInternazionale/opportunita-corso-internazionale/index.txt,Quale tra le seguenti attività NON è organizzata dal Team del Tutorato per supportare gli studenti del corso di Sviluppo e Cooperazione Internazionale?,D.  Incontri di benvenuto e di socializzazione per i docenti del corso,A.  Sportello settimanale con le Tutor,B.  Ciclo di eventi di orientamento come “Caffè a palazzo Hercolani”,C.  Canale Telegram per rispondere alle FAQ e segnalare opportunità e eventi
../SviluppoCooperazioneInternazionale/opportunita-corso-internazionale/index.txt,"Quali tipi di incontri vengono organizzati per gli studenti del Corso di Laurea in Scienze Politiche, Sociali e Internazionali per aiutarli nella stesura della tesi?",A. Incontri dedicati al supporto alla stesura della tesi.,B. Incontri con docenti per discutere di possibili tesi di laurea.,C. Workshop di scrittura creativa per migliorare le capacità di scrittura degli studenti.,D. Seminari su argomenti specifici di politica internazionale per fornire spunti di ricerca.
../SviluppoCooperazioneInternazionale/mutuazione-di-esami-di-lingua-extraeuropea/index.txt,Quante posizioni sono disponibili per l'insegnamento di 'Lingua e Linguistica Cinese I' nell'ambito delle attività a scelta libera del terzo anno?,A. 5,B. 10,C. 20,D. 25
